word,sentiment,score
تبرزيط,Négatif,-0.8
غضب,Négatif,-0.9
نشاط,Positif,0.8
قبول,Positif,0.7
شجاعة,Positif,0.8
تقة,Positif,0.7
ملل,Négatif,-0.7
لامبالاة,Négatif,-0.8
فضول,Neutre,0.0
كآبة,Négatif,-0.9
رغبة,Positif,0.7
تايعيف,Négatif,-0.6
شك,Négatif,-0.7
نشوة,Positif,0.8
إحراج,Négatif,-0.8
لمريڭ,Négatif,-0.7
إيمان,Positif,0.9
خوف,Négatif,-0.8
إحباط,Négatif,-0.9
تعاطف,Positif,0.8
شكر,Positif,0.9
طمع,Négatif,-0.6
دنب,Négatif,-0.9
تأنيب الضمير,Négatif,-0.8
حماس,Positif,0.8
سعادة,Positif,0.9
لفَرحة,Positif,0.9
كراهية,Négatif,-1.0
حسد,Négatif,-0.9
شهوة,Négatif,-0.7
حبّ,Positif,1.0
وحدة,Négatif,-0.8
ضرافات,Positif,0.6
فرح,Positif,0.9
غيرة,Négatif,-0.7
دلّ,Négatif,-0.6
رعب,Négatif,-0.9
أمل,Positif,0.9
الندم,Négatif,-0.8
الرفض,Négatif,-0.8
فخر,Positif,0.8
شفقة,Positif,0.7
شغف,Positif,0.9
حنين,Positif,0.8
حشمة,Positif,0.7
صدمة,Négatif,-0.9
عار,Négatif,-1.0
حزن,Négatif,-0.9
معاناة,Négatif,-0.9
مفاجأة,Neutre,0.0
خلعة,Négatif,-0.9
وسواس,Négatif,-0.7
فقسة,Négatif,-0.6
طموح,Positif,0.8
إحساس,Neutre,0.0
شعور,Neutre,0.0
عاطفة,Neutre,0.0
بخير,Positif,0.8
زوين,Positif,0.8
مزيان بزاف,Positif,0.9
رايع,Positif,0.9
مبروك,Positif,1.0
ضحك,Positif,0.8
برافو,Positif,0.8
مرضية,Positif,0.7
غضبان,Négatif,-0.8
حزين,Négatif,-0.9
ماشي مزيان,Négatif,-0.7
عيان,Négatif,-0.6
كره,Négatif,-0.9
دمرني,Négatif,-1.0
مصيبة,Négatif,-0.9
حرام,Négatif,-1.0
معقد,Négatif,-0.8
وخيبة,Négatif,-0.9
ما عجبنيش,Négatif,-0.8
مثير للاهتمام,Neutre,0.0
ساهل,Positif,0.6
عادي,Neutre,0.0
متوسط,Neutre,0.0
جديد,Neutre,0.0
قديم,Neutre,0.0
صراحة,Neutre,0.0
ما عندي حتى رأي,Neutre,0.0
صافي,Neutre,0.0
احترام,Positif,0.8
كرامة,Positif,0.9
شرف,Positif,0.9
إعجاب,Positif,0.8
تقدير,Positif,0.7
امتنان,Positif,0.8
مكانة,Positif,0.7
عدم الأمان,Négatif,-0.8
خوف من الفشل,Négatif,-0.9
خجل,Négatif,-0.7
تردد,Négatif,-0.6
عدم اليقين,Négatif,-0.7
عدم الثقة,Négatif,-0.8
حنان,Positif,0.9
تعلق,Positif,0.8
عطف,Positif,0.8
رحمة,Positif,0.9
لطف,Positif,0.8
عدم الرضا,Négatif,-0.8
زعاف,Négatif,-0.7
استياء,Négatif,-0.8
خيبة أمل,Négatif,-0.9
ندم,Négatif,-0.8
زعما,Neutre,0.0
مرارة,Négatif,-0.8
ضغينة,Négatif,-0.9
إرادة,Positif,0.8
طموح كبير,Positif,0.9
رغبة كبيرة,Positif,0.8
دافع,Positif,0.7
عزم,Positif,0.9
دهشة,Neutre,0.0
عدم التصديق,Négatif,-0.7
ذهول,Négatif,-0.8
عدم الفهم,Négatif,-0.7
حيرة,Négatif,-0.6
تخربيقة,Négatif,-0.7
هدوء,Positif,0.8
سكينة,Positif,0.9
حياد,Neutre,0.0
رضا معتدل,Neutre,0.0
راحة البال,Positif,0.8
ثقة معتدلة,Positif,0.7
احتقار,Négatif,-0.9
خوف كبير,Négatif,-0.9
طمأنينة,Positif,0.9
حب,Positif,1.0
رضا,Positif,0.8
ناشط,Positif,0.7
رائع,Positif,0.9
مرتاح,Positif,0.8
فرحة,Positif,0.9
ضحكة,Positif,0.8
حلو,Positif,0.7
نجاح,Positif,1.0
محبة,Positif,0.9
تبارك,Positif,1.0
مزيان,Positif,0.8
عايق,Neutre,0.0
عقل,Positif,0.7
مرحب,Positif,0.9
تعبان,Négatif,-0.7
كريه,Négatif,-0.9
مشكل,Négatif,-0.8
بشع,Négatif,-0.9
كسول,Négatif,-0.8
قهر,Négatif,-0.9
ظالم,Négatif,-1.0
عدواني,Négatif,-1.0
حقد,Négatif,-1.0
صداع,Négatif,-0.8
محطم,Négatif,-1.0
محظوظ,Positif,0.9
مسرور,Positif,0.9
هادئ,Positif,0.8
قانع,Positif,0.7
قوي,Positif,0.9
عظيم,Positif,1.0
عاطف,Positif,0.8
محبوب,Positif,1.0
ثقة,Positif,0.9
جدية,Positif,0.7
قمة,Positif,0.9
نجومية,Positif,0.8
مميز,Positif,0.9
متفائل,Positif,0.9
راضي,Positif,0.8
رابح,Positif,0.9
مبدع,Positif,1.0
جميل,Positif,0.9
كريم,Positif,0.9
سخاء,Positif,0.9
إبداع,Positif,1.0
اليف,Positif,0.8
مفرح,Positif,0.9
ناجح,Positif,1.0
محترم,Positif,0.8
ذكي,Positif,0.9
مبتسم,Positif,0.8
غامض,Neutre,0.0
مظلوم,Négatif,-0.9
خبيث,Négatif,-1.0
شكوى,Négatif,-0.7
مخيف,Négatif,-0.9
سيئ,Négatif,-1.0
حرمان,Négatif,-1.0
عداوة,Négatif,-0.9
هم,Négatif,-0.8
قلة,Négatif,-0.7
تشاؤم,Négatif,-0.9
وحشية,Négatif,-1.0
حرب,Négatif,-1.0
صراع,Négatif,-0.9
مستحيل,Négatif,-1.0
مزيف,Négatif,-0.8
فقر,Négatif,-0.9
عصبي,Négatif,-0.8
صادق,Positif,0.9
واثق,Positif,0.8
